"interval_start_utc","interval_end_utc","load"
2024-04-29 21:30:00,2024-04-29 21:35:00,25432
2024-04-29 21:35:00,2024-04-29 21:40:00,25279
2024-04-29 21:40:00,2024-04-29 21:45:00,25159
2024-04-29 21:45:00,2024-04-29 21:50:00,25034
2024-04-29 21:50:00,2024-04-29 21:55:00,24877
2024-04-29 21:55:00,2024-04-29 22:00:00,24753
2024-04-29 22:00:00,2024-04-29 22:05:00,24577
2024-04-29 22:05:00,2024-04-29 22:10:00,24398
2024-04-29 22:10:00,2024-04-29 22:15:00,24255
2024-04-29 22:15:00,2024-04-29 22:20:00,24126
2024-04-29 22:20:00,2024-04-29 22:25:00,24009
2024-04-29 22:25:00,2024-04-29 22:30:00,23785
2024-04-29 22:30:00,2024-04-29 22:35:00,23659
2024-04-29 22:35:00,2024-04-29 22:40:00,23532
2024-04-29 22:40:00,2024-04-29 22:45:00,23370
2024-04-29 22:45:00,2024-04-29 22:50:00,23165
2024-04-29 22:50:00,2024-04-29 22:55:00,23051
2024-04-29 22:55:00,2024-04-29 23:00:00,22904
2024-04-29 23:00:00,2024-04-29 23:05:00,22767
2024-04-29 23:05:00,2024-04-29 23:10:00,22584
2024-04-29 23:10:00,2024-04-29 23:15:00,22575
2024-04-29 23:15:00,2024-04-29 23:20:00,22487
2024-04-29 23:20:00,2024-04-29 23:25:00,22364
2024-04-29 23:25:00,2024-04-29 23:30:00,22231
2024-04-29 23:30:00,2024-04-29 23:35:00,22139
2024-04-29 23:35:00,2024-04-29 23:40:00,22018
2024-04-29 23:40:00,2024-04-29 23:45:00,21877
2024-04-29 23:45:00,2024-04-29 23:50:00,21771
2024-04-29 23:50:00,2024-04-29 23:55:00,21627
2024-04-29 23:55:00,2024-04-30,21529
2024-04-30,2024-04-30 00:05:00,21412
2024-04-30 00:05:00,2024-04-30 00:10:00,21520
2024-04-30 00:10:00,2024-04-30 00:15:00,21556
2024-04-30 00:15:00,2024-04-30 00:20:00,21490
2024-04-30 00:20:00,2024-04-30 00:25:00,21449
2024-04-30 00:25:00,2024-04-30 00:30:00,21340
2024-04-30 00:30:00,2024-04-30 00:35:00,21231
2024-04-30 00:35:00,2024-04-30 00:40:00,21157
2024-04-30 00:40:00,2024-04-30 00:45:00,21066
2024-04-30 00:45:00,2024-04-30 00:50:00,21021
2024-04-30 00:50:00,2024-04-30 00:55:00,20900
2024-04-30 00:55:00,2024-04-30 01:00:00,20821
2024-04-30 01:00:00,2024-04-30 01:05:00,20762
2024-04-30 01:05:00,2024-04-30 01:10:00,20696
2024-04-30 01:10:00,2024-04-30 01:15:00,20638
2024-04-30 01:15:00,2024-04-30 01:20:00,20596
2024-04-30 01:20:00,2024-04-30 01:25:00,20499
2024-04-30 01:25:00,2024-04-30 01:30:00,20435
2024-04-30 01:30:00,2024-04-30 01:35:00,20344
2024-04-30 01:35:00,2024-04-30 01:40:00,20313
2024-04-30 01:40:00,2024-04-30 01:45:00,20251
2024-04-30 01:45:00,2024-04-30 01:50:00,20191
2024-04-30 01:50:00,2024-04-30 01:55:00,20106
2024-04-30 01:55:00,2024-04-30 02:00:00,20037
2024-04-30 02:00:00,2024-04-30 02:05:00,20003
2024-04-30 02:05:00,2024-04-30 02:10:00,19991
2024-04-30 02:10:00,2024-04-30 02:15:00,19957
2024-04-30 02:15:00,2024-04-30 02:20:00,19870
2024-04-30 02:20:00,2024-04-30 02:25:00,19858
2024-04-30 02:25:00,2024-04-30 02:30:00,19807
2024-04-30 02:30:00,2024-04-30 02:35:00,19759
2024-04-30 02:35:00,2024-04-30 02:40:00,19670
2024-04-30 02:40:00,2024-04-30 02:45:00,19653
2024-04-30 02:45:00,2024-04-30 02:50:00,19603
2024-04-30 02:50:00,2024-04-30 02:55:00,19565
